Station,Event,Quality
ARZA,20180114_091845,Fair
GERK,20180819_042858,Fair
VAND,20161120_205743,Fair
VAND,20200805_120536,Fair
GUDG,20131123_074832,Fair
TBLG,20130523_210746,Fair
KIV,20140326_032936,Fair
KIV,20150718_022732,Fair
KIV,20170926_042000,Fair
KIV,20181223_230843,Fair
DDFL,20150422_225716,Fair
URAV,20120428_100807,Fair
KECH,20141101_185722,Good
VAND,20190731_150233,Good
ZARN,20150612_110706,Good
GNI,20131123_074832,Good
GNI,20140323_182001,Good
AZMN,20140401_234647,Good
